story_index,PID,Text,actions,action_pair_1,action_pair_2,True_label,Direction
0,#G14#,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","publish, view",publish,view,ENABLES,1->2
1,#G14#,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","publish, share",publish,share,ENABLES,1->2
2,#G14#,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","sign up, publish, have",sign up,publish,ENABLES,1->2
2,#G14#,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","sign up, publish, have",sign up,have,ENABLES,1->2
2,#G14#,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","sign up, publish, have",publish,have,NONE,2->1
3,#G14#,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.",sign up via,,,,1->2
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",know,get going quickly,ENABLES,1->2
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",know,do next,NONE,
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",know,signing up,NONE,
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",get going quickly,do next,NONE,
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",get going quickly,signing up,NONE,
4,#G14#,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","know, get going quickly, do next, signing up",do next,signing up,NONE,
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",invite,join,ENABLES,1->2
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",invite,start contributing,ENABLES,1->2
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",invite,using,ENABLES,1->2
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",join,start contributing,ENABLES,1->2
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",join,using,ENABLES,1->2
5,#G14#,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","invite, join, start contributing, using",start contributing,using,NONE,
6,#G14#,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","import, has, access",import,has,ENABLES,1->2
6,#G14#,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","import, has, access",import,access,ENABLES,1->2
6,#G14#,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","import, has, access",has,access,NONE,
7,#G14#,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","configure, start publishing",configure,start publishing,ENABLES,1->2
8,#G14#,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","use, update",use,update,ENABLES,1->2
9,#G14#,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.",unpublish,,,,1->2
10,#G14#,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.",permanently delete,,,,1->2
11,#G14#,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","validate, publish, know",validate,publish,NONE,
11,#G14#,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","validate, publish, know",validate,know,NONE,
11,#G14#,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","validate, publish, know",publish,know,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,validated,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,publish,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,know immediately,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,accidentally broken,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,have,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",want,correct,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",validated,publish,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",validated,know immediately,ENABLES,1->2
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",validated,accidentally broken,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",validated,have,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",validated,correct,ENABLES,1->2
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",publish,know immediately,NONE,
