pair_id_1,pair_id_2,story_1_text,story_2_text,true_label
0,1,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.",CONFLICT
0,7,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to configure my client, so that I can start publishing data packages.",DEPENDS_ON
0,16,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",DUPLICATE
0,17,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to create a data package in the UI so that it is available and published.",DUPLICATE
0,21,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",None
0,22,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.",None
0,23,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.",None
0,46,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Consumer, I want to view a Datapackage at a particular version online, so that that I can present/discuss the particular data timeslice of interest with other people.",None
0,58,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.",None
0,66,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to have private data packages, so that I can share just with my team.",None
1,5,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.",None
1,7,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to configure my client, so that I can start publishing data packages.",DEPENDS_ON
1,16,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",DUPLICATE
1,17,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to create a data package in the UI so that it is available and published.",DUPLICATE
1,21,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",None
1,22,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.",DUPLICATE
1,23,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.",DEPENDS_ON
1,24,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.",None
1,66,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to have private data packages, so that I can share just with my team.",None
2,3,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.",None
2,4,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.",None
2,5,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.",None
2,6,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.",DEPENDS_ON
2,7,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to configure my client, so that I can start publishing data packages.",DEPENDS_ON
2,8,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.",DEPENDS_ON
2,10,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.",DEPENDS_ON
