job_index,source_set,batch,story_id,transformation,source_story,rewritten_story,action_1,action_2,rationale,started_at,finished_at,duration_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd,validation_errors
1,g14,preventing_condition_action,0,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.","As a Publisher, I want to lock a dataset to a private audience so that users outside that audience cannot view it.",lock,view,The first action puts the dataset in a locked audience state that prevents users outside that audience from viewing it.,2026-05-08T14:17:24.182455+00:00,2026-05-08T14:17:37.127348+00:00,12.945,1179,542,1721,0.022154999999999994,[]
2,g14,preventing_condition_action,1,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","As a Publisher, I want to archive a dataset so that visitors cannot download it from the public catalog.",archive a dataset,download it,Archiving the dataset creates an archived state that prevents public visitors from downloading it.,2026-05-08T14:17:37.130350+00:00,2026-05-08T14:17:51.437467+00:00,14.307,1177,630,1807,0.024785,[]
3,g14,preventing_condition_action,2,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a registry admin, I want to reject a publisher account signup so that the publisher cannot publish a data package to the registry under that account.",reject,publish,"Rejecting the publisher account signup leaves no valid publisher account, which blocks publishing a data package under that account.",2026-05-08T14:17:51.443466+00:00,2026-05-08T14:18:01.283390+00:00,9.84,1193,506,1699,0.021145,[]
4,g14,preventing_condition_action,3,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Visitor, I want to revoke Google authorization during sign-up so that I cannot sign up with Google in that session.",revoke Google authorization,sign up with Google,Revoking the Google authorization creates a session state that prevents completing sign-up with Google in that session.,2026-05-08T14:18:01.291543+00:00,2026-05-08T14:18:16.143604+00:00,14.851,1189,656,1845,0.025625,[]
5,g14,preventing_condition_action,4,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want the onboarding checklist to lock publishing for an incomplete signup so that I cannot submit my first article from that account.",lock publishing,submit my first article,"The first action creates a locked publishing state for an incomplete signup, which blocks the publisher from submitting the first article.",2026-05-08T14:18:16.150717+00:00,2026-05-08T14:18:30.460650+00:00,14.31,1179,650,1829,0.025395,[]
6,g14,preventing_condition_action,5,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to revoke an invitation so that the recipient cannot join the platform with that invitation.",revoke,join,Revoking the invitation creates an invalid invitation state that blocks the recipient from joining the platform with it.,2026-05-08T14:18:30.463111+00:00,2026-05-08T14:18:37.730971+00:00,7.268,1180,355,1535,0.016550000000000002,[]
7,g14,preventing_condition_action,6,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Publisher, I want to disable a data package in the registry so that visitors cannot access its online home.",disable,access,The first action creates a disabled registry state that prevents visitors from carrying out the second action.,2026-05-08T14:18:37.737681+00:00,2026-05-08T14:18:47.039142+00:00,9.302,1182,374,1556,0.01713,[]
8,g14,preventing_condition_action,7,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to disable my client configuration so that the client cannot publish data packages.",disable client configuration,publish data packages,Disabling the client configuration creates a system state that blocks the client from publishing data packages.,2026-05-08T14:18:47.050149+00:00,2026-05-08T14:18:57.303969+00:00,10.254,1175,410,1585,0.018175,[]
9,g14,preventing_condition_action,8,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to archive a registered data package so that the publish command cannot update it.",archive,update,Archiving the registered data package creates an archived state that blocks the publish command from updating it.,2026-05-08T14:18:57.309975+00:00,2026-05-08T14:19:04.233587+00:00,6.924,1184,332,1516,0.01588,[]
10,g14,preventing_condition_action,9,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to unpublish a data package so that users cannot view the package.",unpublish,view,Unpublishing creates an unpublished package state that prevents users from viewing the package.,2026-05-08T14:19:04.247602+00:00,2026-05-08T14:19:10.915144+00:00,6.668,1178,324,1502,0.015610000000000002,[]
